,make_source,make_target,match_type,confirmed
1199,Cardiovascular Systems Inc (CSI),Cardiovascular Instrument,first_1_words,FALSE
1200,Cardiovascular Systems Inc.,Cardiovascular Instrument,first_1_words,FALSE
1202,Care Essentials,Care Wise,first_1_words,FALSE
1322,Clinical Dynamics,Clinical Data ,first_1_words,FALSE
1323,Clinical Dynamics Corp,Clinical Data ,first_1_words,FALSE
1324,Clinical Engineering,Clinical Data ,first_1_words,FALSE
1325,Clinical Scientific Equipment,Clinical Data ,first_1_words,FALSE
1326,Clinical Technology Services,Clinical Data ,first_1_words,FALSE
1330,Clinton Electronics Corp,Clinton Industries,first_1_words,FALSE
1355,Cole-Taylor,Cole-Parmer,first_1_words,FALSE
1367,Compass Health Brands,Compass Engineering Corp. ,first_1_words,FALSE
1368,Compass Health Brands Co.,Compass Engineering Corp. ,first_1_words,FALSE
1389,Contemporary Designs,Contemporary Products,first_1_words,FALSE
1390,Contemporary Health Systems,Contemporary Products,first_1_words,FALSE
1393,Continental Scale,Continental Refrigerator,first_1_words,FALSE
1394,Control Co,Control-X Medical,first_1_words,FALSE
1402,Cook Vascular,Cook Rite,first_1_words,FALSE
1409,Cooper Endoscopy Div CooperSurgical Inc,Cooper-Atkins,first_1_words,FALSE
1410,Cooper Industries,Cooper-Atkins,first_1_words,FALSE
1411,Cooper Surgical,Cooper-Atkins,first_1_words,FALSE
1420,Core Fitness,Core Products,first_1_words,FALSE
1435,Coulter,Coulter Optical,first_1_words,FALSE
1436,Coulter Electronics,Coulter Optical,first_1_words,FALSE
1476,Custom Biogenic Systems,Custom Ultrasonics,first_1_words,FALSE
1477,Custom Medical,Custom Ultrasonics,first_1_words,FALSE
1480,Custom Ultrasounics,Custom Ultrasonics,first_1_words,FALSE
1572,DRIVE,Drive Medical Design & Mfg,first_1_words,FALSE
1592,DYNA-MED,Dyna,first_1_words,FALSE
1699,Diagnostic Products Corp,Diagnostic Services,first_1_words,FALSE
1700,Diagnostic Ultrasound,Diagnostic Services,first_1_words,FALSE
1720,Digital Angel Corporation,Digital Payment Technologies,first_1_words,FALSE
1721,Digital V6,Digital Payment Technologies,first_1_words,FALSE
1758,Drive DeVilbiss Healthcare Inc,Drive Medical Design & Mfg,first_1_words,FALSE
1808,EDWARDS LABORATORIES,Edwards Systems Technologies,first_1_words,FALSE
1856,ENABLING DEVICES,Enabling Technologies,first_1_words,FALSE
1935,Electro Fiberoptics Corp,"Electro-Technic Products, Inc.",first_1_words,FALSE
1936,Electro Medical Equipment,"Electro-Technic Products, Inc.",first_1_words,FALSE
1937,Electro Medical Systems,"Electro-Technic Products, Inc.",first_1_words,FALSE
1938,Electro Werke,"Electro-Technic Products, Inc.",first_1_words,FALSE
1943,Electronic Instrument Company,Electronic Respirometer,first_1_words,FALSE
1950,Elite Transducers Ltd,Elite Bio Medical,first_1_words,FALSE
2029,Excel Medical,Excel Tech,first_1_words,FALSE
2055,FIRST COMPANY,First Crush,first_1_words,FALSE
2123,First Photo (FOTO ?),First Crush,first_1_words,FALSE
2124,First Signal,First Crush,first_1_words,FALSE
2166,Foster Mfg Corp,Foster + Freeman,first_1_words,FALSE
2194,Future Medical Systems,"Future Health Concepts, Inc",first_1_words,FALSE
2224,GENERAL PHYSIOTHERAP,"General Water Technologies, INC",first_1_words,FALSE
2225,GENERAL PROJECT,"General Water Technologies, INC",first_1_words,FALSE
2226,GENERAL SCANNING,"General Water Technologies, INC",first_1_words,FALSE
2227,GENERAL SCANNING INC,"General Water Technologies, INC",first_1_words,FALSE
2233,GEOMETRIC,Geometric Data,first_1_words,FALSE
2247,GLOBAL FOCUS MARKETING,Global industrial,first_1_words,FALSE
2302,Gemini Data Loggers (UK),Gemini,first_1_words,FALSE
2314,General Anesthetic Services,"General Water Technologies, INC",first_1_words,FALSE
2319,General Medventures Int,"General Water Technologies, INC",first_1_words,FALSE
2350,Global Cooling,Global industrial,first_1_words,FALSE
2351,Global Focus M.D. Ltd.,Global industrial,first_1_words,FALSE
2352,Global Focus Marketing,Global industrial,first_1_words,FALSE
2353,Global Focus Marketing & Distribution Ltd,Global industrial,first_1_words,FALSE
2354,Global Food Equipment Co.,Global industrial,first_1_words,FALSE
2355,Global Health Mgmnt,Global industrial,first_1_words,FALSE
2357,Global Research,Global industrial,first_1_words,FALSE
2358,Global Specialties,Global industrial,first_1_words,FALSE
2365,Golden Ratio Woodworks,Golden Tech,first_1_words,FALSE
2387,Grass Instrument Co,Grass-Telefactor,first_1_words,FALSE
2388,Grass Instruments,Grass-Telefactor,first_1_words,FALSE
2427,HARVARD CLINICAL TECH.,Harvard Apparatus,first_1_words,FALSE
2432,HEALTH CARE LOGISTICS INC.,Health-O-Meter,first_1_words,FALSE
2446,"HENRY TROEMNER, LLC",Henry Schein,first_1_words,FALSE
2535,Harvard Clinical,Harvard Apparatus,first_1_words,FALSE
2545,Health Beacons Inc,Health-O-Meter,first_1_words,FALSE
2546,Health Care Logistics Inc,Health-O-Meter,first_1_words,FALSE
2547,Health Industries,Health-O-Meter,first_1_words,FALSE
2550,Health Quip Inc,Health-O-Meter,first_1_words,FALSE
2554,HealthCare International Inc,Healthcare Lighting,first_1_words,FALSE
2558,Healthcare Logistics,Healthcare Lighting,first_1_words,FALSE
2610,Henry Troemner,Henry Schein,first_1_words,FALSE
2611,Henry Troemner LLC,Henry Schein,first_1_words,FALSE
2669,Horizon Fitness,"Horizon Technology, Inc.",first_1_words,FALSE
2685,Hudson Fitness Products,"Hudson Robotics, Inc.",first_1_words,FALSE
2691,Humphrey Systems,Humphrey Zeiss,first_1_words,FALSE
2742,IMAGE SYSTEMS CORPORATION,Image Stream Medical,first_1_words,FALSE
2755,INTELLIGENT MEDICAL SYSTEMS INC,Intelligent Weighing Technology,first_1_words,FALSE
2756,INTERACTIVE METRONOME,Interactive Motion Technologies,first_1_words,FALSE
2759,INTERNATIONAL EQUIPMENT,International Technidyne,first_1_words,FALSE
2760,INTERNATIONAL EQUIPMENT CO,International Technidyne,first_1_words,FALSE
2812,Image Diagnostic Inc,Image Stream Medical,first_1_words,FALSE
2815,Image Monitoring USA,Image Stream Medical,first_1_words,FALSE
2819,Imaging Diagnostics Inc.,Imaging Sciences International,first_1_words,FALSE
2829,Impact Medical Corp,Impact Instrumentation,first_1_words,FALSE
2837,Industrial Acoustics Company,Industrial Plankton,first_1_words,FALSE
2873,Intelligent Medical Systems,Intelligent Weighing Technology,first_1_words,FALSE
2874,Intelligent Ultrasound North America Inc.,Intelligent Weighing Technology,first_1_words,FALSE
2884,International Biomedical,International Technidyne,first_1_words,FALSE
2885,International Biomedical Inc,International Technidyne,first_1_words,FALSE
2886,International Biomedical Ltd.,International Technidyne,first_1_words,FALSE
2887,International Equipment Co,International Technidyne,first_1_words,FALSE
2888,International Light Technologi,International Technidyne,first_1_words,FALSE
2970,John Chatillon & Sons Inc,John R Wald,first_1_words,FALSE
2971,John Chatillon - Sons Inc,John R Wald,first_1_words,FALSE
2972,John Fluke Mfg Co Inc,John R Wald,first_1_words,FALSE
2973,Johnson,Johnson Tool,first_1_words,FALSE
2977,Johnson Fitness & Wellness,Johnson Tool,first_1_words,FALSE
2979,Johnson Thermal Systems,Johnson Tool,first_1_words,FALSE
2985,Jordan Commerical Refrigerator,Jordan Valley,first_1_words,FALSE
3117,LASER SOLUTIONS INC,"Laser Technology, Inc. (LTI)",first_1_words,FALSE
3206,Laser Engineering,"Laser Technology, Inc. (LTI)",first_1_words,FALSE
3207,Laser Ventures,"Laser Technology, Inc. (LTI)",first_1_words,FALSE
3381,MEDI-TEK INC,Medi/Nuclear,first_1_words,FALSE
3382,"MEDICAL DATA ELECTRONICS,",Medical Support Products Inc.,first_1_words,FALSE
3383,MEDICAL DYNAMICS OF SC,Medical Support Products Inc.,first_1_words,FALSE
3385,MEDICAL INTERNATIONAL RESEARCH,Medical Support Products Inc.,first_1_words,FALSE
3387,MEDICAL POSITIONING INC,Medical Support Products Inc.,first_1_words,FALSE
3388,MEDICAL POSITIONING INC.,Medical Support Products Inc.,first_1_words,FALSE
3389,MEDICAL RESEARCH LABS,Medical Support Products Inc.,first_1_words,FALSE
3390,MEDICAL TECHNOLOGY CORP,Medical Support Products Inc.,first_1_words,FALSE
3391,MEDICAL VIDEO SYSTEMS INC,Medical Support Products Inc.,first_1_words,FALSE
3441,MICRO-TERM,Micro Solutions,first_1_words,FALSE
3450,MILES INC DIAGNOSTICS DIV,Miles Scientific,first_1_words,FALSE
3453,MILLENNIUM MEDICAL PRODUCTS INC,Millennium Dental Technologies,first_1_words,FALSE
3642,Medi Mix Products,Medi/Nuclear,first_1_words,FALSE
3643,Medi-Mech Corp,Medi/Nuclear,first_1_words,FALSE
3645,Medi-Plinth,Medi/Nuclear,first_1_words,FALSE
3646,Medi-Plinth Ltd,Medi/Nuclear,first_1_words,FALSE
3647,Medi-Stim,Medi/Nuclear,first_1_words,FALSE
3652,Medical Data Electronics,Medical Support Products Inc.,first_1_words,FALSE
3653,Medical Data Electronics Inc Sub Invivo Corp,Medical Support Products Inc.,first_1_words,FALSE
3654,Medical Device Resource Corp,Medical Support Products Inc.,first_1_words,FALSE
3655,Medical Devices Inc,Medical Support Products Inc.,first_1_words,FALSE
3656,Medical Electrical Company,Medical Support Products Inc.,first_1_words,FALSE
3660,Medical Enterprises LLC,Medical Support Products Inc.,first_1_words,FALSE
3666,Medical Intelligence,Medical Support Products Inc.,first_1_words,FALSE
3667,Medical International Research,Medical Support Products Inc.,first_1_words,FALSE
3668,Medical Laboratory Automation,Medical Support Products Inc.,first_1_words,FALSE
3669,Medical Measurement Systems USA Inc,Medical Support Products Inc.,first_1_words,FALSE
3671,Medical Mesurements Systems,Medical Support Products Inc.,first_1_words,FALSE
3672,Medical Positioning,Medical Support Products Inc.,first_1_words,FALSE
3673,Medical Positioning Inc,Medical Support Products Inc.,first_1_words,FALSE
3674,Medical Positioning Inc.(MPI),Medical Support Products Inc.,first_1_words,FALSE
3675,Medical Precision,Medical Support Products Inc.,first_1_words,FALSE
3676,Medical Science Products Inc,Medical Support Products Inc.,first_1_words,FALSE
3677,Medical Services of America,Medical Support Products Inc.,first_1_words,FALSE
3678,Medical Solutions,Medical Support Products Inc.,first_1_words,FALSE
3679,Medical Spare Parts,Medical Support Products Inc.,first_1_words,FALSE
3682,Medical Technology Inc.(MTI),Medical Support Products Inc.,first_1_words,FALSE
3683,Medical Technology Ind (MTI),Medical Support Products Inc.,first_1_words,FALSE
3684,Medical Technology Industries (MTI),Medical Support Products Inc.,first_1_words,FALSE
3778,Micro Diagnostics Corp,Micro Solutions,first_1_words,FALSE
3780,Micro Typing Systems,Micro Solutions,first_1_words,FALSE
3781,Micro Typing Systems(MTS),Micro Solutions,first_1_words,FALSE
3782,Micro-Star International (Msi),Micro Solutions,first_1_words,FALSE
3890,Motion Fitness LLC,Motion Concepts,first_1_words,FALSE
3910,NATIONAL LABNET COMPANY,"National Patent Analytical Systems, Inc (NPAS)",first_1_words,FALSE
3947,NORTH AMERICAN DRAEGER,North Star Imaging,first_1_words,FALSE
3948,NORTH COAST MEDICAL,North Star Imaging,first_1_words,FALSE
3949,NORTH COAST MEDICAL INC,North Star Imaging,first_1_words,FALSE
3985,National  Integration Services,"National Patent Analytical Systems, Inc (NPAS)",first_1_words,FALSE
3986,National Appliance Heinicke Co,"National Patent Analytical Systems, Inc (NPAS)",first_1_words,FALSE
3989,National Display Systems,"National Patent Analytical Systems, Inc (NPAS)",first_1_words,FALSE
3990,National Display Systems NDS,"National Patent Analytical Systems, Inc (NPAS)",first_1_words,FALSE
3991,National Electric Pressure Coo,"National Patent Analytical Systems, Inc (NPAS)",first_1_words,FALSE
3992,National Hospital Specialties,"National Patent Analytical Systems, Inc (NPAS)",first_1_words,FALSE
3996,National Refrigerator,"National Patent Analytical Systems, Inc (NPAS)",first_1_words,FALSE
4088,North Coast Medical,North Star Imaging,first_1_words,FALSE
4089,North Coast Medical Inc,North Star Imaging,first_1_words,FALSE
4164,"ORTHO CARE, INC",Ortho-Clinical,first_1_words,FALSE
4165,ORTHO DIAGNOSTIC SYSTEMS INC A JOHNSON & JOHNSON CO,Ortho-Clinical,first_1_words,FALSE
4292,PAUL H. GESSWEIN,Paul Mueller Company,first_1_words,FALSE
4352,PRECISION BIOMEDICAL SERVICES INC,Precision X-Ray Inc.,first_1_words,FALSE
4357,PREMIER MEDICAL,Premier Lab Supply,first_1_words,FALSE
4369,PROTON COR,Proton Onsite,first_1_words,FALSE
4381,Pace Worldwide,Pace Tech,first_1_words,FALSE
4384,Pacific Medical,Pacific Transducer Corp. ,first_1_words,FALSE
4399,Park-Adams,Park Systems,first_1_words,FALSE
4425,Peak Medical,"Peak Scientific Instruments, Ltd.",first_1_words,FALSE
4426,Peak Surgical Inc Div Medtronic Inc,"Peak Scientific Instruments, Ltd.",first_1_words,FALSE
4444,Perceptive Scientific in,Perceptive Instruments,first_1_words,FALSE
4455,Perkin Healthcare Technologies,Perkin Elmer,first_1_words,FALSE
4480,Phoenix Data,Phoenix S&T,first_1_words,FALSE
4496,Pilling Co,Pilling Weck,first_1_words,FALSE
4497,Pilling Surgical A Teleflex Medical Co,Pilling Weck,first_1_words,FALSE
4512,Polar Products,Polar King,first_1_words,FALSE
4528,Power Medical Interventions,Power Sentry,first_1_words,FALSE
4529,Power Technologies,Power Sentry,first_1_words,FALSE
4530,Power Val,Power Sentry,first_1_words,FALSE
4539,Precision Div Jouan Inc,Precision X-Ray Inc.,first_1_words,FALSE
4558,Princeton Digital Corp.,Princeton Gamma-Tech (PGT),first_1_words,FALSE
4594,Pure Processing LLC,Pure Storage,first_1_words,FALSE
4606,QUANTUM DIAGNOSTICS LTD,"Quantum Medical Imaging, LLC",first_1_words,FALSE
4607,QUEST DIAGNOSTICS INC,Quest Technologies,first_1_words,FALSE
4622,Quantum Fitness,"Quantum Medical Imaging, LLC",first_1_words,FALSE
4623,Quantum Fitness Corp,"Quantum Medical Imaging, LLC",first_1_words,FALSE
4624,Quantum Imaging Inc,"Quantum Medical Imaging, LLC",first_1_words,FALSE
4626,Quest Diagnostics,Quest Technologies,first_1_words,FALSE
4638,Quincy Specialties,"Quincy Lab, Inc",first_1_words,FALSE
4657,REHAB EQUIPMENT SYSTEMS,Rehab Pro,first_1_words,FALSE
4660,REICHERT OPHTHALMIC INSTRUMENTS DIV REICHERT INC,Reichert-Jung,first_1_words,FALSE
4699,Radiation Product Design Inc.,"Radiation Monitoring Devices, Inc. (RMD)",first_1_words,FALSE
4700,Radiation Products Design,"Radiation Monitoring Devices, Inc. (RMD)",first_1_words,FALSE
4701,Radiation Products Design Inc,"Radiation Monitoring Devices, Inc. (RMD)",first_1_words,FALSE
4707,RanD SPA,Rand-Scot,first_1_words,FALSE
4727,Rehab Technologies LLC,Rehab Pro,first_1_words,FALSE
4874,SELECT SYS,Select Medical Products,first_1_words,FALSE
4936,"SOUND OFF, INC",Sound Surgical,first_1_words,FALSE
5074,Scientific Products,Scientific Respiratory Equipment Inc. (SCIREQ),first_1_words,FALSE
5089,Seal Shield LLC,SEAL Analytical,first_1_words,FALSE
5110,Select POS,Select Medical Products,first_1_words,FALSE
5155,Sherwood-Davis,Sherwood Medical,first_1_words,FALSE
5156,Sherwood-Davis & Geck,Sherwood Medical,first_1_words,FALSE
5204,Smart Caregiver Corp,SMART Technologies,first_1_words,FALSE
5205,Smart Weigh Scales,SMART Technologies,first_1_words,FALSE
5212,Smith Orthopedics,Smith Corona,first_1_words,FALSE
5213,Smith-Victor Corp,Smith Corona,first_1_words,FALSE
5243,Sonic Systems Inc,Sonic Foundry,first_1_words,FALSE
5244,Sonic Systems Inc.,Sonic Foundry,first_1_words,FALSE
5275,Specialty Imaging Systems,Specialty Coating Systems (SCS),first_1_words,FALSE
5289,Spiral Biotech,Spiral Binding,first_1_words,FALSE
5298,Square D Group-Schneider Elect,Square,first_1_words,FALSE
5320,"Standard Bariatrics, Inc.",Standard Register,first_1_words,FALSE
5326,Star Trol,Star X-ray,first_1_words,FALSE
5340,Stereo Master Ii,Stereo Optical Company ,first_1_words,FALSE
5409,Surgical Dynamics Inc,"Surgical Tables, Inc.",first_1_words,FALSE
5410,Surgical Instruments Services,"Surgical Tables, Inc.",first_1_words,FALSE
5412,Surgical Table Services Co,"Surgical Tables, Inc.",first_1_words,FALSE
5413,Surgical Technologies,"Surgical Tables, Inc.",first_1_words,FALSE
5464,TECH. ASSC,Tech-Med,first_1_words,FALSE
5481,TEST RECORD VENDER A,Test Resources,first_1_words,FALSE
5495,THERMO FISCHER SCIENTIFIC,Thermo-Kool,first_1_words,FALSE
5500,THERMO-FORMA INC,Thermo-Kool,first_1_words,FALSE
5558,TURNER IMAGING SYSTEMS,Turner Designs,first_1_words,FALSE
5572,Taylor Co,Taylor-Wharton,first_1_words,FALSE
5573,Taylor Company,Taylor-Wharton,first_1_words,FALSE
5574,Taylor Precision Products,Taylor-Wharton,first_1_words,FALSE
5575,Taylor Usa,Taylor-Wharton,first_1_words,FALSE
5602,Tens Products,TENS Plus,first_1_words,FALSE
5616,Test Equipment (Placeholder),Test Resources,first_1_words,FALSE
5646,Thermo IEC Div Thermo Electron Corp,Thermo-Kool,first_1_words,FALSE
5647,Thermo Iec,Thermo-Kool,first_1_words,FALSE
5648,Thermo Labsystems,Thermo-Kool,first_1_words,FALSE
5651,Thermo Shandon Limited,Thermo-Kool,first_1_words,FALSE
5755,Turner Biosystem,Turner Designs,first_1_words,FALSE
5783,UNITED MEDICAL FABRICATORS,"United Products & Instruments, Inc.",first_1_words,FALSE
5824,United Chemical Technologies (Utc) Inc,"United Products & Instruments, Inc.",first_1_words,FALSE
5825,United Metal Fabricators Inc.,"United Products & Instruments, Inc.",first_1_words,FALSE
5826,United Scopes LLC (AmScope),"United Products & Instruments, Inc.",first_1_words,FALSE
5828,Universal Gym Equipment,Universal X-Ray,first_1_words,FALSE
5829,Universal Hospital Services,Universal X-Ray,first_1_words,FALSE
5830,Unknown Vendor,Unknown,first_1_words,FALSE
5844,VASCULAR TECHNOLOGY,Vascular Solutions,first_1_words,FALSE
5867,VISTA MEDICAL SYSTEMS,Vista Technology,first_1_words,FALSE
5905,Vascular Technology (VTI),Vascular Solutions,first_1_words,FALSE
5906,Vascular Technology Inc.(VTI),Vascular Solutions,first_1_words,FALSE
5963,Vital Therapies Inc,Vital Scientific,first_1_words,FALSE
5964,Vital Vue,Vital Scientific,first_1_words,FALSE
6008,WESTERN ENTERPRISES,Western Scientific,first_1_words,FALSE
6018,WOLF MEDICAL INSTR CORP.,Wolf X-Ray,first_1_words,FALSE
6020,WORLD CLASS MOTOR SPEC,World of Medicine,first_1_words,FALSE
6037,Walter Products Inc,Walter Herzog Gmbh,first_1_words,FALSE
6054,Weight Watchers,Weight Right,first_1_words,FALSE
6061,Welch-Ilmvac,Welch Allyn,first_1_words,FALSE
6080,Western Graphtec Inc,Western Scientific,first_1_words,FALSE
6081,Western Innovator,Western Scientific,first_1_words,FALSE
6082,Western Medica,Western Scientific,first_1_words,FALSE
6088,White Towel Services,White Systems,first_1_words,FALSE
6105,Wisconsin Lifting Specialist,Wisconsin Aluminum Foundry,first_1_words,FALSE
10,"7D Surgical, Inc.",7D Surgical Inc.,skip_special_chars,TRUE
285,Airon Corp.,Airon Corp,skip_special_chars,TRUE
311,Alicat Scientific Inc,"Alicat Scientific, Inc",skip_special_chars,TRUE
467,Arobella Medical LLC,"Arobella Medical, LLC",skip_special_chars,TRUE
795,Best Theratronics Ltd.,"Best Theratronics, ltd.",skip_special_chars,TRUE
804,Bien Air,Bien-Air,skip_special_chars,TRUE
810,Bio Data,Bio/Data,skip_special_chars,TRUE
821,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc.",skip_special_chars,TRUE
831,BioJect  Inc,"Bioject, Inc.",skip_special_chars,TRUE
909,Body Solid,Body-Solid,skip_special_chars,TRUE
1033,"CEIA USA, Ltd","Ceia USA, Ltd.",skip_special_chars,TRUE
1056,CIRCON ACMI,Circon-ACMI,skip_special_chars,TRUE
1072,CMI Inc,"CMI, Inc",skip_special_chars,TRUE
1083,COLTENE/ WHALEDENT,Coltene/Whaledent,skip_special_chars,TRUE
1159,"Cancer Diagnostics, Inc.","Cancer Diagnostics, Inc",skip_special_chars,TRUE
1177,CardiacAssist Inc,CardiacAssist Inc.,skip_special_chars,TRUE
1239,Cateye Co Ltd,"CATEYE Co., Ltd.",skip_special_chars,TRUE
1291,Christie Medical Holdings Inc,"Christie Medical Holdings, Inc.",skip_special_chars,TRUE
1297,Cincinnati Sub Zero,Cincinnati Sub-Zero,skip_special_chars,TRUE
1315,Clarity Medical Systems Inc,"Clarity Medical Systems, Inc.",skip_special_chars,TRUE
1377,Concept2 Inc,"Concept2, Inc.",skip_special_chars,TRUE
1382,Conmed / Linvatec,ConMed Linvatec,skip_special_chars,TRUE
1458,Cryocath Technologies Inc,"CryoCath Technologies, Inc.",skip_special_chars,TRUE
1486,Cygnus LLC,"Cygnus, LLC",skip_special_chars,TRUE
1546,DIGI SENSE,Digi-Sense,skip_special_chars,TRUE
1623,Datex Ohmeda,Datex-Ohmeda,skip_special_chars,TRUE
1750,Dr Mach,Dr. Mach,skip_special_chars,TRUE
2019,"Ethicon, Inc.",Ethicon Inc.,skip_special_chars,TRUE
2077,FOTODYNE Inc,"Fotodyne, Inc. ",skip_special_chars,TRUE
2085,FUJIFILM / Sonosite,FUJIFILM SonoSite,skip_special_chars,TRUE
2234,GETINGE CASTLE,Getinge/Castle,skip_special_chars,TRUE
2249,GLOBUS MEDICAL NORTH AMERICA INC,"Globus Medical North America, Inc",skip_special_chars,TRUE
2368,Good Lite,Good-Lite,skip_special_chars,TRUE
2399,Guldmann Inc,"Guldmann, Inc.",skip_special_chars,TRUE
2527,Hans Rudolph Inc,Hans Rudolph Inc.,skip_special_chars,TRUE
2548,Health O Meter,Health-O-Meter,skip_special_chars,TRUE
2551,Health o Meter,Health-O-Meter,skip_special_chars,TRUE
2627,Hewlett-Packard,Hewlett Packard,skip_special_chars,TRUE
2814,Image Diagnostics Inc (idi),"Image Diagnostics, Inc. (idi)",skip_special_chars,TRUE
2895,Intoximeters Inc,"Intoximeters, Inc",skip_special_chars,TRUE
3060,Kimberly-Clark,Kimberly Clark,skip_special_chars,TRUE
