,Unnamed: 0,model_name_source,model_name_target,confidence,match_type,mel_id,make_target,modality_target,confirmed
4,4,S8223-1 - Mixing Device,,0.0,no_match,,American Scientific,,False
0,0,6038700 - Neo Cot,,0.0,no_match,,Atom Medical,,False
0,0,Therabath Pro,,0.7,no_match,,WR Medical Electronics,,False
0,0,XH-1001,,0.9,no_match,,Premiere,,False
0,0,15-462-15 - IsoTemp 215,Isotemp 215G,0.8,llm,749811.0,Fisher Scientific,General Laboratory,False
1,1,05-090-100 - Mini-Fuge,05-090-100,0.9,llm,752726.0,Fisher Scientific,General Laboratory,False
2,2,75008821 - Accuspin 8C,Accuspin 8C,0.95,llm,765600.0,Fisher Scientific,General Laboratory,False
3,3,2001 - Isotemp,Isotemp,0.7,llm,795071.0,Fisher Scientific,Refrigeration,False
4,4,516 D,Isotemp 516G,0.6,llm,758131.0,Fisher Scientific,General Laboratory,False
5,5,mini vortex mixer - Mini Vortex Mier,Analog Vortex Mixer 120V,0.7,llm,752708.0,Fisher Scientific,General Laboratory,False
6,6,134,,0.0,no_match,,Fisher Scientific,,False
7,7,201324 - Micro 7,,0.0,no_match,,Fisher Scientific,,False
8,8,"11-718-6 - Bath, Dry",,0.0,no_match,,Fisher Scientific,,False
9,9,2053FS - Dry-Bath Incubator,,0.0,no_match,,Fisher Scientific,,False
10,10,310 T -,,0.0,no_match,,Fisher Scientific,,False
11,11,B1000 - Bacti-Loop Infrared Sterilizer,,0.0,no_match,,Fisher Scientific,,False
12,12,Bacti-loop sterilize -,,0.0,no_match,,Fisher Scientific,,False
13,13,SP88857200 - IsoTemp,,0.0,no_match,,Fisher Scientific,,False
14,14,Fisher Hamilton Hood,,0.0,no_match,,Fisher Scientific,,False
15,15,12-810 - Mixing Device,,0.0,no_match,,Fisher Scientific,,False
16,16,16 - Mixing Device,,0.0,no_match,,Fisher Scientific,,False
17,17,"346 - Mixing Device, Lab",,0.0,no_match,,Fisher Scientific,,False
18,18,348 - Mixing Device,,0.0,no_match,,Fisher Scientific,,False
19,19,945404 - Vortexer,,0.0,no_match,,Fisher Scientific,,False
20,20,G 560 -,,0.0,no_match,,Fisher Scientific,,False
21,21,M16715 -,,0.0,no_match,,Fisher Scientific,,False
22,22,S7D Vortex,,0.0,no_match,,Fisher Scientific,,False
23,23,"K5509 - Mixer, Vortex",,0.0,no_match,,Fisher Scientific,,False
24,24,SterilElite 24 Autoclave,,0.0,no_match,,Fisher Scientific,,False
25,25,151 - Timer,,0.0,no_match,,Fisher Scientific,,False
0,0,181,,0.0,no_match,,Precision Scientific,,False
1,1,1250,,0.0,no_match,,Precision Scientific,,False
0,0,14792,14792.0,,exact,768887.0,Boekel Scientific,General Laboratory,True
1,1,"133000 - Incubator, Lab",133000.0,0.95,llm,737389.0,Boekel Scientific,General Laboratory,False
2,2,290200,,0.9,no_match,,Boekel Scientific,,False
3,3,131500 -,,0.9,no_match,,Boekel Scientific,,False
4,4,"260700 - Incubator, Lab",,0.9,no_match,,Boekel Scientific,,False
0,0,DH4 Plasma Thawer,DH4,0.9,llm,786316.0,Helmer,,False
1,1,550103-1 - UltraCW,UltraCW,0.95,llm,9638.0,Helmer,General Laboratory,False
2,2,550164-1 - Ultracw Ii,UltraCW II,0.95,llm,798091.0,Helmer,General Laboratory,False
3,3,500353-1 - PC900I I-SeriesPlatlet Incubator,PC900H,0.7,llm,741490.0,Helmer,General Laboratory,False
4,4,500441-1 - PF48I I-Series Agitator,PF 48,0.7,llm,792362.0,Helmer,General Laboratory,False
5,5,EBA 20S - Centrifuge,,0.0,no_match,,Helmer,,False
6,6,PF15 - Platelet Agitator,,0.0,no_match,,Helmer,,False
0,0,ORS-2038D - ORS-2000 Series Irrigation Solution Warming System,ORS-2038D,0.95,llm,738702.0,O.R. Solutions,,False
1,1,ORS-2066R - ORS-2000 Series Irrigation Solution Warming System,ORS-2066R,0.95,llm,798307.0,O.R. Solutions,,False
2,2,ORS-2057D-F - ORS-2000 Series Irrigation Solution Warming System,,0.0,no_match,,O.R. Solutions,,False
0,0,Various -,,,no_match,,AliMed,,False
0,0,PR-1502,,0.0,no_match,,Sammons Preston,,False
1,1,SM-1502,,0.0,no_match,,Sammons Preston,,False
2,2,08-1028935 - Hand Dynamometer,,0.0,no_match,,Sammons Preston,,False
3,3,12-240 - Jamar Hydraulic Hand Dynamometer,,0.0,no_match,,Sammons Preston,,False
4,4,5030J1 - 5030J1 Hand Dynamometer,,0.0,no_match,,Sammons Preston,,False
5,5,7460045 Pinch Meter,,0.0,no_match,,Sammons Preston,,False
6,6,AG531,,0.0,no_match,,Sammons Preston,,False
7,7,9259-86 - Extra Wide Exam Table,,0.0,no_match,,Sammons Preston,,False
0,0,EBW2 - Ultrasound Gel Warmer,EBW2,0.9,llm,792465.0,Whitehall,,False
1,1,SM-1501,,0.0,no_match,,Whitehall,,False
2,2,SP-1502,,0.0,no_match,,Whitehall,,False
0,0,RCUHLB850 - Rc Ultra Hi-Lo 850 Bariatric Bed,,0.0,no_match,,Joerns,,False
1,1,PMP - ES2 Control Unit,,0.0,no_match,,Joerns,,False
0,0,MU20105 - JM105,JM-105,0.9,llm,766800.0,Draeger,General Laboratory,False
1,1,MU20606 - JM-103,JM-103,0.9,llm,786308.0,Draeger,,False
2,2,JM-A33 - JM-105 Docking Station,,0.5,no_match,,Draeger,,False
0,0,ATEC Emerald +,atecemerald,,skip_special_chars,,Hologic,,False
1,1,Sahara - Bone Ultrasonometers,Sahara,0.9,llm,735679.0,Hologic,Bone Densitometry,False
2,2,Horizon-W - Bone Density Unit,Horizon W,0.95,llm,763740.0,Hologic,Bone Densitometry,False
3,3,D MAX - Film Digitizer,ImageChecker Dmax,0.85,llm,9957.0,Hologic,Mammography,False
4,4,FLT-100 Fluent,Fluent-100,0.9,llm,792087.0,Hologic,Surgery,False
5,5,ThinPrep 2000 Processor,Thinprep,0.8,llm,745442.0,Hologic,Histology,False
6,6,3DM-SYS-STD - 3Dimensions,3Dimensions 3D,0.9,llm,790610.0,Hologic,Mammography,False
7,7,SDM-05000-3DC-3Dimensions,Selenia Dimensions 3D,0.85,llm,753038.0,Hologic,Mammography,False
8,8,SDM-SYS-6000-3D-3Dimensions,Dimensions 3D 6000,0.95,llm,801363.0,Hologic,Mammography,False
9,9,TRI-LOC-DUO - Trident HD,Trident HD,0.95,llm,,Hologic,,False
10,10,RFC2009-115 - Ablation System,NovaSure 09,0.8,llm,755106.0,Hologic,Endoscopy,False
11,11,RFC2010-115 - Novasure Controller,NovaSure,0.85,llm,746609.0,Hologic,Endoscopy,False
12,12,STLC-00004 - Affirm Breast Biopsy System,Affirm Biopsy,0.9,llm,800369.0,Hologic,Mammography,False
13,13,10-500 - Myosure Control Unit,,0.0,no_match,,Hologic,,False
14,14,10-550 - MyoSure Controller,,0.0,no_match,,Hologic,,False
15,15,ATEC Pearl,,0.0,no_match,,Hologic,,False
16,16,ATEC Sapphire 100,,0.0,no_match,,Hologic,,False
0,0,1100 - Forma 1100,,0.0,no_match,,Forma Scientific,,False
1,1,3916 - Incubator,,0.0,no_match,,Forma Scientific,,False
2,2,3950 - Forma 3950,,0.0,no_match,,Forma Scientific,,False
0,0,SterilGARD III Advance,SterilGARD III Advance,,exact,750691.0,The Baker Company,General Laboratory,True
1,1,B60-ATS - BioGARD,,0.0,no_match,,The Baker Company,,False
0,0,610-1323 - CAB-TEE Storage System,,0.0,no_match,,Civco,,False
1,1,MT805.5D - Mt805.5D,,0.0,no_match,,Civco,,False
2,2,MTVL1A - Single Function Vac-Lok Pump,,0.0,no_match,,Civco,,False
3,3,610-2168 - Gus Disinfection Station For Small Scopes G18-E,,0.0,no_match,,Civco,,False
4,4,610-921 - GUS Disinfection Station G10VPL,,0.0,no_match,,Civco,,False
0,0,DRY-1001 - Endodry,EndoDry,0.9,llm,769173.0,Medivators,Endoscopy,False
1,1,ADV-1007 - Advantage Plus,Advantage Plus,0.95,llm,798878.0,Medivators,Sterilization,False
2,2,EGA-501 - Endostratus,EndoStratus,0.85,llm,767769.0,Medivators,Surgery,False
3,3,EGA-500 - Endostratus Irrigation Pump,EndoStratus,0.8,llm,767769.0,Medivators,Surgery,False
4,4,EGP-100 - Endogator Irrigation Pump,EGP-100,0.95,llm,798691.0,Medivators,Miscellaneous,False
5,5,ECA-100G - Scope Buddy,Scope Buddy,0.9,llm,759845.0,Medivators,Sterilization,False
6,6,SBP-1000 - Scope Buddy Plus,Scope Buddy,0.85,llm,759845.0,Medivators,Sterilization,False
0,0,721EX-1630 - Fluke 721Ex Calibrator,,0.9,no_match,,Fluke Networks,,False
0,0,10362 -,,0.0,no_match,,True Manufacturing,,False
0,0,177 - Survey Meter,177,0.95,llm,17906.0,Ludlum Measurements,General Laboratory,False
1,1,2200 - Scintillation Counter,2200,0.95,llm,17907.0,Ludlum Measurements,General Laboratory,False
0,0,Captus 3000,CAPTUS 3000,,exact,5483.0,Capintec,Nuclear Medicine,True
1,1,CRC-15R - Dose Calibrator,CRC-15R,0.95,llm,9510.0,Capintec,General Laboratory,False
2,2,5430-30152 - Captus 4000E,Captus 4000e,0.9,llm,798199.0,Capintec,Nuclear Medicine,False
0,0,382200 - Dc Power Supply,382200.0,1.0,llm,790509.0,Extech Instruments,Hardware,False
1,1,407744 - Sound Level Calibrator 1Khz / 94Db,,0.0,no_match,,Extech Instruments,,False
2,2,380224 - Digital Multimeter,,0.0,no_match,,Extech Instruments,,False
3,3,380777 - DVM,,0.0,no_match,,Extech Instruments,,False
4,4,"Clampmeter, AC/DC",,0.0,no_match,,Extech Instruments,,False
5,5,EX411,,0.0,no_match,,Extech Instruments,,False
6,6,EX430 - Digital Multimeter,,0.0,no_match,,Extech Instruments,,False
7,7,461895 - Combo Phote/Conact Tacho,,0.0,no_match,,Extech Instruments,,False
8,8,461995 - Tachometer,,0.0,no_match,,Extech Instruments,,False
9,9,RPM10 - Combo Tachometer,,0.0,no_match,,Extech Instruments,,False
10,10,44457 - Humidity / Temperature Meter,,0.0,no_match,,Extech Instruments,,False
11,11,407764 - Datalogging Sound Meter- Range 30Db-130Db,,0.0,no_match,,Extech Instruments,,False
12,12,RH101 - Temp / Humidity,,0.0,no_match,,Extech Instruments,,False
0,0,Visulas YAG III,Visulas YAG III,,exact,10928.0,Carl Zeiss Meditec,Laser,True
1,1,IOL Master 500,iolmaster500,,skip_special_chars,,Carl Zeiss Meditec,,False
2,2,266002-1168-950 - CLARUS 500,Clarus 500,0.95,llm,792343.0,Carl Zeiss Meditec,Optometry,False
3,3,266002-1162-254 - Atlas 9000,ATLAS 9000,0.95,llm,750272.0,Carl Zeiss Meditec,Optometry,False
4,4,2111614 - Opmi Lumera 700,OPMI Lumera 700,0.95,llm,753941.0,Carl Zeiss Meditec,General Laboratory,False
5,5,2149629 - Opmi Pico / S100,OPMI pico,0.85,llm,739264.0,Carl Zeiss Meditec,General Laboratory,False
6,6,"NC31 - Microscope, Surgical",OPMI CS-NC31,0.9,llm,737734.0,Carl Zeiss Meditec,General Laboratory,False
7,7,OPMI 11 - Zeiss Opmi 11 On S21 Stand,OPMI 11,0.95,llm,3278.0,Carl Zeiss Meditec,General Laboratory,False
8,8,OPMI 1-FC - Zeiss Opmi 1-Fc On S2 Stand,OPMI 1-FC,0.95,llm,5438.0,Carl Zeiss Meditec,General Laboratory,False
9,9,OPMI 6S-FC - Opmi 6S-Fc,OPMI 6SFC,0.95,llm,3284.0,Carl Zeiss Meditec,General Laboratory,False
10,10,2050379 - Opmi Pentero 800,OPMI Pentero 800,0.95,llm,764561.0,Carl Zeiss Meditec,General Laboratory,False
11,11,OPMI Pentero - Opmi Pentero,OPMI Pentero,0.95,llm,3289.0,Carl Zeiss Meditec,General Laboratory,False
12,12,266002-1162-272 - HFA3 840,Humphrey HFA3 840,0.95,llm,790530.0,Carl Zeiss Meditec,General Laboratory,False
13,13,10CIR50095CMN - Cirrus HD OCT 500,Cirrus HD OCT 500,0.95,llm,758065.0,Carl Zeiss Meditec,Endoscopy,False
14,14,172182,,0.0,no_match,,Carl Zeiss Meditec,,False
15,15,47 09 16 - Trinocular,,0.0,no_match,,Carl Zeiss Meditec,,False
16,16,2290683 - Extaro 300,,0.0,no_match,,Carl Zeiss Meditec,,False
17,17,NC 32 - Microscope,,0.0,no_match,,Carl Zeiss Meditec,,False
18,18,"OPMI CS-I - Microscope, Surgical",,0.0,no_match,,Carl Zeiss Meditec,,False
0,0,372617-13 - Da Vinci Cart,da Vinci,0.7,llm,738270.0,Intuitive Surgical,,False
1,1,PS3000 - Davinci Si Hd 3 Arm Robot,da Vinci Si HD,0.9,llm,757128.0,Intuitive Surgical,,False
2,2,"PS4000 380652-33 - Davinci Xi Robot, 4 Arm",da Vinci Xi,0.9,llm,768288.0,Intuitive Surgical,,False
3,3,"SS4000 380677-17 - Surgeon'S Console, Is4000, P8E",,0.0,no_match,,Intuitive Surgical,,False
4,4,"SS4000 380677-20 - Surgeon'S Console, Is4000, P9",,0.0,no_match,,Intuitive Surgical,,False
5,5,"VS3000 371683-06 - Cart, Robot, Video",,0.0,no_match,,Intuitive Surgical,,False
6,6,"VS4000 381121-19 - Cart, Robot, Video",,0.0,no_match,,Intuitive Surgical,,False
7,7,"VS4000 381121-36 - Vss Vision System, Is4000 P8E, 4Th Ed",,0.0,no_match,,Intuitive Surgical,,False
8,8,"VS4000 381121-37 - Vss Vision System, Is4000, P9",,0.0,no_match,,Intuitive Surgical,,False
9,9,371580-21F - Core Cpu,,0.0,no_match,,Intuitive Surgical,,False
10,10,371580-25A - Core Cpu,,0.0,no_match,,Intuitive Surgical,,False
11,11,371580-25D - Core Cpu,,0.0,no_match,,Intuitive Surgical,,False
12,12,"PS4000 380652-46 - Ps Cart, Is4000, 4-Arm, P8E, 4Th Ed",,0.0,no_match,,Intuitive Surgical,,False
13,13,"PS4000 380652-47 - Ps Cart, Is4000, 4-Arm, P9",,0.0,no_match,,Intuitive Surgical,,False
14,14,"SS4000 380677-23 - Surgeon'S Console, Is4000, P9",,0.0,no_match,,Intuitive Surgical,,False
15,15,378848-06 - E-100 Vessel Sealing Generator,,0.0,no_match,,Intuitive Surgical,,False
16,16,372340-13 D - Video Processor,,0.0,no_match,,Intuitive Surgical,,False
17,17,372340-15 D - Video Processor,,0.0,no_match,,Intuitive Surgical,,False
18,18,372601-13 - Vision Cart Is4000 Endoscopic Controller,,0.0,no_match,,Intuitive Surgical,,False
19,19,372601-16 - Vision Cart Is4000 Endoscopic Controller,,0.0,no_match,,Intuitive Surgical,,False
20,20,372601-20 - Vision Cart Is4000 Endoscopic Controller,,0.0,no_match,,Intuitive Surgical,,False
0,0,APC300,apc300,,skip_special_chars,,ERBE,,False
1,1,10140-000 - Vio 300D,VIO 300D,0.95,llm,10276.0,ERBE,Surgery,False
2,2,10140-100 - Vio 300D,VIO 300D,0.95,llm,10276.0,ERBE,Surgery,False
3,3,10160-000 - Vio 3,VIO 3,0.95,llm,794822.0,ERBE,Surgery,False
4,4,300D,VIO 300D,0.8,llm,10276.0,ERBE,Surgery,False
5,5,10134-000 - APC2,APC 2,0.95,llm,10271.0,ERBE,Surgery,False
6,6,10135-000 - APC3,APC 3,0.95,llm,794821.0,ERBE,Surgery,False
7,7,10325-000 - Eip 2,EIP2,0.95,llm,760139.0,ERBE,Miscellaneous,False
8,8,20180-000 - VIO Cart w/Footswitch Holder,,0.0,no_match,,ERBE,,False
9,9,APC Trailer,,0.0,no_match,,ERBE,,False
10,10,10140-620 - Vio Dv,,0.0,no_match,,ERBE,,False
0,0,703,703.0,,exact,761290.0,Seca,General Laboratory,True
1,1,769,769.0,,exact,786345.0,Seca,Patient Care and Exam,True
2,2,3541317004 - Seca 354,354.0,0.95,llm,760822.0,Seca,General Laboratory,False
3,3,Seca 374,374.0,0.95,llm,768518.0,Seca,General Laboratory,False
4,4,"727 - Scale, Electronic, Infant",727.0,0.95,llm,786343.0,Seca,Patient Care and Exam,False
5,5,813 - Robusta,813.0,0.95,llm,793167.0,Seca,General Laboratory,False
6,6,954 - Chair Scale,954.0,0.95,llm,746019.0,Seca,General Laboratory,False
7,7,"700 - Scale, Mechanical",700.0,0.95,llm,749081.0,Seca,General Laboratory,False
8,8,4030000009 - Seca 403 Infant Scale Cart,,0.0,no_match,,Seca,,False
9,9,843 - Digital Floor Scale,,0.0,no_match,,Seca,,False
0,0,D138802 - nGEN Remote Monitor,nGEN,0.8,llm,801674.0,Biosense Webster,Electrical,False
1,1,M596820 - nGen Power Supply,nGEN,0.8,llm,801674.0,Biosense Webster,Electrical,False
2,2,D139702 - nGEN Pump,nGEN,0.8,llm,801674.0,Biosense Webster,Electrical,False
3,3,D138402 - nGEN,nGEN,1.0,llm,801674.0,Biosense Webster,Electrical,False
4,4,KT-5404-300FG - Carto Prime Module,CARTO 3,0.7,llm,751611.0,Biosense Webster,Surgery,False
5,5,EM-5402-010,,0.0,no_match,,Biosense Webster,,False
6,6,EM-5070-00F,,0.0,no_match,,Biosense Webster,,False
7,7,EM-5405-20,,0.0,no_match,,Biosense Webster,,False
8,8,EM-5401-00,,0.0,no_match,,Biosense Webster,,False
9,9,EM-5406-00,,0.0,no_match,,Biosense Webster,,False
0,0,Med Surg - Drug/Meds Carts,medDispense,0.7,llm,,InterMetro Industries,,False
1,1,BW2000S - Bw2000S,,0.0,no_match,,InterMetro Industries,,False
0,0,7-900-115,7-900-115,,exact,763371.0,ConMed Linvatec,Surgery,True
1,1,Hyfrecator 2000,Hyfrecator 2000,,exact,5452.0,ConMed Linvatec,Surgery,True
2,2,Airseal IFS1,AirSeal iFS,0.9,llm,787912.0,ConMed Linvatec,Surgery,False
3,3,AV8500 - Visualization Cart,,0.0,no_match,,ConMed Linvatec,,False
4,4,60-8512-120 - Bi Cap III,,0.0,no_match,,ConMed Linvatec,,False
5,5,"LIS8430 - Light, Xenon",,0.0,no_match,,ConMed Linvatec,,False
6,6,60 - Smoke Evacuator,,0.0,no_match,,ConMed Linvatec,,False
7,7,VV120 - Virovac,,0.0,no_match,,ConMed Linvatec,,False
0,0,MR850 Humidifier,MR850,0.95,llm,743078.0,Fisher & Paykel,Respiratory,False
1,1,PT101US - Airvo 2 System,Airvo 2,0.9,llm,788967.0,Fisher & Paykel,HVAC & Refrigeration,False
2,2,NS252 - Hh Battery Op Nerve Stim,NS252,0.95,llm,737287.0,Fisher & Paykel,General Biomedical,False
3,3,NS252J - Hh Battery Op Nerve Stim,NS252,0.8,llm,737287.0,Fisher & Paykel,General Biomedical,False
4,4,97-269-1 -,,0.0,no_match,,Fisher & Paykel,,False
0,0,0295-400,,0.9,no_match,,American Orthopedics,,False
0,0,4401-00 - Dust Evacuator,,0.0,no_match,,Depuy Synthes,,False
1,1,MXR-US-2000 - Norian Rotary Mixer,,0.0,no_match,,Depuy Synthes,,False
2,2,4400-00 - Cast Cutter,,0.0,no_match,,Depuy Synthes,,False
3,3,451570100 - Velys,,0.0,no_match,,Depuy Synthes,,False
4,4,451570103 - Velys Satellite Station,,0.0,no_match,,Depuy Synthes,,False
0,0,M502-22 - Express 3 Iris,StatSpin Express 3,0.85,llm,9758.0,Statspin,General Laboratory,False
0,0,VS-13000 - Vs-13000 Variable-Speed Microcentrifuges,,0.9,no_match,,Cole-Parmer,,False
0,0,00-018-018-001 - 642E,642E,0.95,llm,798203.0,Drucker,General Laboratory,False
1,1,00-024-009-002 - Horizon 642Ves,Horizon 642E,0.85,llm,757103.0,Drucker,General Laboratory,False
2,2,00-384-009-000 - Horizon 24 Flex,Horizon,0.6,llm,792622.0,Drucker,General Laboratory,False
3,3,00-183-009-000 - Dash Flex 12,,0.0,no_match,,Drucker,,False
4,4,00-483-104-000 - Sero 12,,0.0,no_match,,Drucker,,False
5,5,00-676-018-000 - Dash Coag,,0.0,no_match,,Drucker,,False
0,0,"100-100 - Hemastat Ii, Centrifuge",HemataSTAT-II,0.95,llm,1063.0,Separation Technology,General Laboratory,False
1,1,100-600 - Plasmaprep-12 Centrifuge,PlasmaPrep,0.9,llm,9735.0,Separation Technology,General Laboratory,False
0,0,6500 - Centrifuge,,1.0,no_match,,Hamilton,,False
1,1,2K291,,1.0,no_match,,Hamilton,,False
0,0,C5,C5,,exact,761627.0,LW Scientific,General Laboratory,True
1,1,Revelation III,Revelation III,,exact,11517.0,LW Scientific,General Laboratory,True
2,2,I4,i4 Infinity,0.85,llm,769635.0,LW Scientific,General Laboratory,False
3,3,SWL-14PL-77DP,,0.0,no_match,,LW Scientific,,False
0,0,Labofuge 400,Labofuge 400,,exact,751775.0,Heraeus,General Laboratory,True
1,1,Clinifuge,,0.8,no_match,,Heraeus,,False
0,0,Rolofix 32A - Centrifuge,Rotofix 32 A,0.9,llm,9678.0,Hettich,General Laboratory,False
1,1,EBA270 - Centrifuge Zentrifugen,,0.0,no_match,,Hettich,,False
0,0,97-296-1 -,,0.9,no_match,,Fischer Imaging,,False
0,0,OCT-VI - Centrifuge Octafuge,Octafuge,0.9,llm,9593.0,Block Scientific,General Laboratory,False
0,0,SERO-FUGE 2 - Centrifuge,,0.0,no_match,,Clay Adams,,False
1,1,"5384 - Light, Exam/Procedure",,0.0,no_match,,Clay Adams,,False
0,0,STAT-60 - Tabletop Centrifuge,,0.0,no_match,,Allegiance,,False
1,1,RSG-61 - Hematology Slide Stainer,,0.0,no_match,,Allegiance,,False
0,0,6200 - Exam Chair,6200L,0.8,llm,758243.0,Reliance,Optometry,False
1,1,"7000h - Chair, Exam",7000HFC,0.9,llm,768023.0,Reliance,"Beds, Medical Furniture and Patient Transport",False
2,2,"7000L - Chair, Exam",7000L,1.0,llm,792794.0,Reliance,"Beds, Medical Furniture and Patient Transport",False
3,3,"880H - Chair, Exam",880HPC,0.9,llm,792796.0,Reliance,"Beds, Medical Furniture and Patient Transport",False
4,4,980 - Exam Chair (Full Pwr),980,1.0,llm,759211.0,Reliance,"Beds, Medical Furniture and Patient Transport",False
5,5,Reliance 710 Chair,Reliance Equipment,0.7,llm,791108.0,Reliance,Optometry,False
6,6,7700 - OPHTHALMIC EQUIPMENT CONSOLE,7700,1.0,llm,793004.0,Reliance,General Biomedical,False
7,7,7720 - Slit Lamp,7720,1.0,llm,790013.0,Reliance,General Biomedical,False
8,8,"2000 - EXAM, LASER PROCEDURES",,0.0,no_match,,Reliance,,False
9,9,"70002FC - Chair, Exam",,0.0,no_match,,Reliance,,False
10,10,"880 - Chair, Exam",,0.0,no_match,,Reliance,,False
0,0,223 - Ritter 223,Ritter 223,0.95,llm,762314.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
1,1,411-003 - Ritter 75L,411,0.8,llm,17947.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
2,2,411-009 - Ritter 75L,411,0.8,llm,17947.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
3,3,411-016 - Ritter 75L,411,0.8,llm,17947.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
4,4,419 - 419 Power Exam Chair,419,0.95,llm,770273.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
5,5,230-001,Ritter 230,0.9,llm,765624.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
6,6,630-004 - Midmark 630,630,0.9,llm,760793.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
7,7,630-008 - Midmark 630,630,0.9,llm,760793.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
8,8,630-010 - Midmark 630,630,0.9,llm,760793.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
9,9,1-100-1550 - Midmark Digital ECG,Digital ECG,0.85,llm,802578.0,Midmark,Patient Monitoring Systems,False
10,10,4-000-0062 - IQecg,IQecg,0.95,llm,767199.0,Midmark,Patient Monitoring Systems,False
11,11,152-001 - Ritter 152 Exam Light,152,0.9,llm,790028.0,Midmark,Surgery,False
12,12,253-006 - Ritter 253,253,0.95,llm,795719.0,Midmark,Surgery,False
13,13,355-005 - Ritter 355,355,0.95,llm,748481.0,Midmark,Surgery,False
14,14,1-200-0360 - IQvitals Zone,IQvitals,0.85,llm,764645.0,Midmark,Patient Monitoring Systems,False
15,15,4-000-0510 - Iqvitals,IQvitals,0.95,llm,764645.0,Midmark,Patient Monitoring Systems,False
16,16,M11-022 - M11 Ultraclave,M11,0.9,llm,787085.0,Midmark,Sterilization,False
17,17,M11-042 - M11 Ultraclave,M11,0.9,llm,787085.0,Midmark,Sterilization,False
18,18,M9-022 - M9 Ultraclave,Ritter M9,0.9,llm,4402.0,Midmark,Sterilization,False
19,19,M9-042 - M9 Ultraclave,Ritter M9,0.9,llm,4402.0,Midmark,Sterilization,False
20,20,100-023 - Ritter 100,Ritter 100-023,0.95,llm,793535.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
21,21,100-025 - Ritter 104,Ritter 104,0.9,llm,788696.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
22,22,100-035 - Ritter 104,Ritter 104,0.9,llm,788696.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
23,23,100-038 - Ritter 100,Ritter 100-005,0.85,llm,793536.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
24,24,104-036 - Ritter 104,Ritter 104,0.95,llm,788696.0,Midmark,"Beds, Medical Furniture and Patient Transport",False
